functional_admit,DASH_functional,DASH_pain,KOS_functional,KOS_pain,LEFS_functional,LEFS_pain,MDQ_functional,MDQ_pain,NDI_functional,NDI_pain
56,-1.9991081216380504,0.6133804801260814,2.580334014011937,-0.4244692344515778,1.7807433874505705,-0.7304887788894107,-1.4638953537985582,1.0775984820842643,-1.2945442836793306,1.472277700971597
57,-2.034806480953016,0.6243337029854756,2.626411407119293,-0.4320490422096417,1.812542376512188,-0.7435332213695787,-1.4900363422592469,1.0968413121214833,-1.31766114588789,1.4985683742032327
58,-2.0705048402679807,0.6352869258448699,2.6724888002266494,-0.4396288499677056,1.844341365573805,-0.7565776638497468,-1.516177330719935,1.1160841421587022,-1.3407780080964495,1.5248590474348684
59,-2.106203199582946,0.6462401487042643,2.7185661933340053,-0.4472086577257695,1.8761403546354225,-0.7696221063299148,-1.5423183191806238,1.1353269721959214,-1.3638948703050089,1.551149720666504
60,-2.141901558897911,0.6571933715636585,2.764643586441361,-0.4547884654838334,1.90793934369704,-0.7826665488100828,-1.5684593076413125,1.1545698022331403,-1.3870117325135685,1.5774403938981398
61,-2.177599918212876,0.6681465944230529,2.810720979548717,-0.4623682732418973,1.939738332758657,-0.7957109912902509,-1.594600296102001,1.1738126322703593,-1.4101285947221278,1.603731067129775
62,-2.2132982775278416,0.6790998172824472,2.856798372656073,-0.4699480809999612,1.9715373218202743,-0.8087554337704189,-1.6207412845626894,1.1930554623075782,-1.4332454569306874,1.630021740361411
63,-2.2489966368428065,0.6900530401418415,2.902875765763429,-0.4775278887580251,2.003336310881892,-0.821799876250587,-1.646882273023378,1.2122982923447974,-1.4563623191392467,1.6563124135930467
64,-2.284694996157772,0.7010062630012358,2.9489531588707854,-0.485107696516089,2.035135299943509,-0.834844318730755,-1.6730232614840663,1.2315411223820163,-1.4794791813478063,1.6826030868246824
65,-2.320393355472737,0.7119594858606301,2.9950305519781413,-0.4926875042741528,2.0669342890051263,-0.847888761210923,-1.699164249944755,1.2507839524192352,-1.502596043556366,1.708893760056318
66,-2.356091714787702,0.7229127087200244,3.041107945085497,-0.5002673120322167,2.098733278066744,-0.8609332036910912,-1.7253052384054437,1.2700267824564544,-1.5257129057649252,1.7351844332879538
67,-2.3917900741026674,0.7338659315794187,3.0871853381928536,-0.5078471197902806,2.130532267128361,-0.8739776461712592,-1.7514462268661322,1.2892696124936731,-1.5488297679734848,1.7614751065195895
